S.NO,A,B,C,D,E,F,G,H,I,J
1,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
2,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
3,YES,NO,,NO,YES,NO,NO,NO,YES,YES
4,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
5,YES,NO,,NO,YES,NO,NO,NO,YES,
6,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO
7,YES,YES,NO,YES,YES,NO,,YES,NO,YES
8,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO
9,YES,YES,YES,,YES,,YES,YES,YES,YES
10,YES,YES,YES,YES,NO,YES,YES,YES,,
11,YES,,YES,YES,YES,YES,YES,YES,YES,YES
12,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO
13,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES
14,YES,YES,NO,NO,,YES,NO,NO,NO,YES
15,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
16,YES,YES,NO,YES,YES,YES,NO,YES,NO,YES
17,NO,YES,,YES,YES,YES,YES,YES,NO,YES
18,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES
19,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES
20,YES,YES,YES,YES,,NO,YES,YES,YES,YES
21,NO,YES,YES,,YES,,YES,YES,YES,YES
22,YES,,YES,YES,YES,YES,YES,YES,NO,YES
23,NO,YES,YES,YES,YES,YES,YES,YES,,YES
24,YES,YES,YES,YES,YES,YES,YES,YES,,YES
25,YES,YES,YES,YES,NO,,YES,YES,YES,NO
26,YES,NO,YES,YES,,YES,YES,,NO,YES
27,YES,YES,,NO,NO,YES,YES,NO,YES,NO
28,YES,NO,YES,YES,,NO,YES,YES,YES,NO
29,YES,NO,YES,NO,YES,,NO,,,YES
30,YES,YES,YES,NO,YES,NO,YES,NO,,YES
31,YES,YES,NO,YES,YES,,NO,YES,YES,YES
32,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
33,YES,YES,,YES,NO,YES,YES,YES,YES,YES
34,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES
35,YES,NO,YES,NO,YES,,YES,YES,YES,NO
36,NO,YES,YES,NO,YES,NO,YES,,,YES
37,YES,YES,YES,,YES,NO,NO,NO,YES,NO
38,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO
39,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
40,NO,YES,,YES,NO,YES,YES,NO,YES,YES
41,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES
42,,NO,YES,NO,NO,,YES,YES,NO,YES
43,YES,YES,YES,NO,YES,YES,,YES,YES,YES
44,YES,YES,,NO,NO,NO,YES,,YES,YES
45,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO
46,YES,YES,,YES,,,,NO,YES,YES
47,YES,YES,NO,YES,YES,YES,YES,YES,NO,
48,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO
49,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES
50,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES
51,,YES,YES,NO,YES,NO,NO,YES,,YES
52,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES
53,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES
54,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES
55,NO,YES,YES,YES,YES,YES,NO,YES,YES,
56,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES
57,NO,YES,,YES,YES,YES,YES,YES,NO,NO
58,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO
59,NO,YES,YES,YES,NO,NO,,YES,YES,YES
60,,YES,,NO,YES,YES,YES,YES,YES,YES
61,NO,YES,YES,YES,NO,NO,,YES,YES,YES
62,YES,YES,NO,NO,NO,YES,YES,YES,NO,YES
63,YES,YES,,YES,YES,NO,YES,,NO,YES
64,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES
65,YES,YES,YES,YES,,,YES,NO,,NO
66,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES
67,YES,YES,YES,YES,NO,YES,YES,NO,YES,NO
68,YES,YES,,YES,NO,YES,,NO,YES,
69,,YES,YES,YES,YES,YES,YES,YES,YES,YES
70,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES
71,YES,NO,YES,,YES,YES,NO,YES,NO,YES
72,YES,,YES,YES,YES,YES,YES,YES,YES,YES
